subtitle,title,url,text,tags,date
,Profile: Twingine,https://techcrunch.com/2005/06/24/profile-twingine/,"Company:  Twingine Location: Norway What is it? Twingine was created by Asgeir Nilsen .  It was previously, infamously, known as “YaGoohoo!gle”, but after discussions with Yahoo and Google Trademark lawyers, Asgeir changed the name to “Twingine”. It’s a fun tool. A search yields a two pane results screen with Yahoo and Google results side-by-side. Screen Shots: Creator: Asgeir Nilsen Relevant Links: tools blog Asgeir Nilsen Blog John Battelle on this Tags: twingine , YaGoohoo!gle , web2.0 , techcrunch , search , yahoo , google",,2005-06-24 00:00:00
,Profile – Gataga (Its Gone),https://techcrunch.com/2005/07/13/profile-gagatga-its-gone/,"Company:  Gataga Previous Profiles: June 11, 2005 and June 21, 2005 What Happened? Just as background, Gataga was a wonderful tool for searching multiple tagging services in one go. enter a tag on the command line, and see results from delicious, furl, flickr, etc… See our profiles above more more information. We just received an email from Vic at Gataga: Hi Mike… Just to let you know that we’ve had to take Gataga down for various reasons which I can’t get into now. Thanks for all the help, comments and write ups. We really appreciate it. Vic There’s no additional explanation on their blog. They went right from “We’ve improved the accuracy for bookmark searches” to “We’ve been summoned back to our home planet” Since sites are generally not taken down unless there is legal pressure to do so, our assumption is that Gataga got into some sort of trouble for its service. We do note, however, that Technorati and others have very similar tag searches that show results from other sites. What happened to Gataga? Tags: gataga , search , tags , tagging , techcrunch , web2.0",,2005-07-13 00:00:00
,Profile – Browster,https://techcrunch.com/2005/07/13/profile-browster/,"Company:  Browster Launch Date: Beta in February 2005, Version 1.0 launched today, July 13, 2005 What is it? Browster is a tool, available only for IE (damn, I just lost half of my readers right there) that pre-fetches content from links on a web page, and makes that content available by mousing-over the link. Too see it visually click here . So we dusted off IE (used only for FTP these days), downloaded 334k of stuff and had at it. Browster allows you to browse search results more quickly and with fewer clicks. Browster will also pre-fetch content from non-search sites if you tell it to (there are a couple of easy ways to do this). There is a nice feature to basically scroll through search results quickly by clicking on an arrow. It’s hard to explain but works very well. Browster has CPC advertisements on the top of its window. I don’t mind the ads, but the copyright holders of the content they are showing may. I also wish they would have focused on Firefox before IE…Even though IE still has a very large market share, it seems like most of the cutting edge users are on firefox, or macs. Not having support for those browsers is a serious mistake because your most important customers (bloggers, for instance) won’t use it. Tom Foremski wrote about Browster a few hours ago and pointed out a number of very serious flaws (we agree with some, disagree with others). At the end of the day, our only real concerns are those mentioned above (browser support and copyright infringement issues). From a business model perspective, there’s very little that’s viral or sticky about the product. That means ultimately their liquidity event valuation may be based on their technology rather than their network. It’s a great tool and as soon as they support firefox I’ll use it regularly. Additional Screen Shots: Management Team: Scott Milener, CEO and co-Founder Jim Kelly, Vice President, Engineering Steven Lurie, Vice President, Business Development Wendell Brown, Chairman and co-Founder John Zeisler,Member, Board of Directors Link Investors: First Round Capital Wendell Brown, co-Founder and Member, Board of Directors John Zeisler, Venture Partner, Gabriel Ventures Ken Sawyer, Managing Director, Saints Ventures Rick Magnuson, former General Partner, Menlo Ventures Robert Simon, General Partner, Alta Partners Links Relevant Links: How it works Faq Press About Investors Management Scott Milener (founder) blog Tags: browster , search , techcrunch , web2.0 , profiles , reviews , InternetExplorer",Browster,2005-07-13 00:00:00
,Profile – Wikipedia,https://techcrunch.com/2005/07/12/profile-wikipedia/,"Service:  Wikipedia Created: January 15, 2001 Summary: Wikipedia has been around for over 5 years, is the largest wiki (by far) and serves over 400 million page views per month (to compare, USA Today has about 300 million). Wikipedia is a free, online, user-written encyclopedia in wiki format that was created in 2001 by Larry Sanger and Jimmy Wales . It has grown at an astonishing rate and now includes 1.6 million articles. More than 600,000 of these are in English, more than 250,000 in German, and more than 100,000 each in Japanese and French (wikipedia has editions in 205 languages, 92 of which are active). Many people don’t realize how easy it is for anyone to add content to wikipedia (I’ve done it several times). Each month, thousands of individuals add content to the project. We are writing about it today because it became the most comprehensive and most reliable center of knowledge as information became available about the London bombings on July 7. We posted about the attacks here , and noted in last weeks Web 2.0 wrapup that while the BBC and other news sites couldn’t keep up, wikipedia marched along without a hiccup and kept the world informed. Clay Shirky spoke about it, and Jim Phelps picked it up here : “Whenever there is a really major disaster but no immediate news, the people on cable are often vamping because they have to keep repeating the basic story on the chance that someone has just tuned in even in the absence of any new information. Wikipedia solves that problem while, at the same time, having a symbiotic relationship with those news outlets because it points people to the written form of stories” See also David Weinberger’s post on this here . For many of us, we started to fully understand the tremendous power of wikipedia as a cultural/knowledge aggregator on July 7, 2005. What are Wikis? A Wiki is a web application that allows users to add content, as on an Internet forum, but also allows anyone to edit the content. The first wiki was the Portland Pattern Repository , created  on March 25, 1995 by Ward Cunningham. A defining characteristic of wiki technology is the ease with which pages can be created and updated. Generally, there is no review before modifications are accepted. Wikis generally practice the philosophy of making it easy to correct mistakes, rather than making it difficult to make them. The name is based on the Hawaiian term wiki wiki, meaning “quick” or “informal”. It is used commonly in Hawaii as part of the Hawaiian Pidgin language. Link History of Encyclopedias: Link An encyclopedia is a written compendium of knowledge. An excellent summary can be found here , at wikipedia: “The idea of collecting all of the world’s knowledge within arm’s reach under a single roof goes back to the ancient Library of Alexandria and Pergamon. Many writers of antiquity (such as Aristotle) attempted to write comprehensively about all human knowledge.” “Traditional encyclopedias are written by a number of employed text writers, usually people with an academic degree.” Today, most encyclopedias offer content online and charge a subscription fee for content ranging up to about $100 per year. How is Wikipedia different (and better)? Wikipedia combines wikis, which are aggregations of content created by users, and the idea of an encyclopedia. To summarize it further would be foolish – we cannot compete with tens of thousands of editors at wikipedia. See their entry for wikipedia here . At its core, wikipedia offers conent on a vast array of subjects (like web 2.0 ), and offers additional features such as a discussion forum for each item, editing tools to add content, and a page showing historical revisions to the text. Samuel Klein writes a beautiful post summarizing our thoughts exactly on what Wikipedia is, was and will become here . There are certainly problems with wikipedia, but these problems are inherent in the structure of wikis (when everyone can write, some people write crap). But it is tremendously resilient and self-healing, and an extremely important asset to the Internet culture. Creators: Larry Sanger (left the project in 2002) Jimmy Wales Relevant Links: TheNetReport â€“ interview with Jimmy Wales (full interview here ) David Weinberger (on the London bombings) obaeyens (scientist discovered wikipedia, wants to expand on his area of exprtise) Wired Magazine article on Wikipedia See Nivi – “ Wikipedia Defeats Google (Sometimes) ” Tags: wikipedia , london , londonbombings , encyclopedia , wiki , wikis , techcrunch , web2.0",Wikipedia; Web_2.0,2005-07-12 00:00:00
,Profile – Digg 2.0,https://techcrunch.com/2005/07/11/profile-digg-2o/,"Company:  Digg Previous Profile:  June 18, 2005 Digg 2.0 Launched: 5 hours ago (July 10, 2005) What is it? See our previous profile on Digg for a description of its functionality. Its a very useful news site that leverages user submissions and “diggs” of stories to promote content higher in various categories and the home page. Digg released version 2.0 a few hours ago. New look and feel and expanded functionality. In their own words, “Tons of new features, and a few bugs too :) Please submit any bugs you find by clicking on “report a website bug” in the lower right hand corner. We will do our best to get them fixed as soon as possible. Thanks and enjoy! (note: minimalist design coming in v2.1)ï¿½”  Link One nice feature we’ve noticed is the ability to add Digg stories to your own homepage – cool widget. Link Links: Digg Welcome to Digg 2.0 Xtremdav45’s Blog Grevs Dev Blog Jaredm Krenken.com Ericâ€™s blog Phoenixrealm Jake Jarvis (great post) (note Jake’s bio ) Tags: digg , digg2.0 , slashdot , web2.0 , news , tags , tagging , techcrunch , web2.0",Web_2.0; Digg,2005-07-11 00:00:00
,Profile – Planet Web 2.0,https://techcrunch.com/2005/07/11/profile-planet-web-20/,"Service:  Planet Web 2.0 Launched: about two weeks ago What is it? Planet Web 2.0 is a website (and more importantly an RSS feed) that aggregates content from web 2.0 publishers around the web. It’s a must add feed for anyone tracking web 2.0. The sources of the content are linked on the sidebar, and include TechCrunch. :-) We first discovered the site while reading Richard MacManus’ excellent and much discussed post “ On Bots and Content Creation / Aggregation ” last week. We have lots of thoughts on Richard’s post (and generally, entirely agree with him). Our feeling is Planet Web 2.0, which goes out of its way to attribute content, is going about this inevitable evolution in the right way, and we support them. The debate on the issue of re-publishing content goes back as far as the web itself. RSS makes it even easier, of course. In fact, the entire purpose of RSS is the republishing of content. The debate centers on whether it should be republished only in RSS readers, or if it can be republished anywhere. In reality, though, what is the difference between an online RSS reader and a website? Not much, particuarly when you think about how bloglines and other readers allow sharing of feeds… Editor’s Note: To track the “old” debate on RSS and copyright, see Jason Calcanis , Robert Scoble ,  and Makeyougohmm to start. So here’s TechCrunch’s position: We like Planet Web 2.0 and think what is doing is a responsible way to promote content, while giving proper attribution to those who wrote it. In forming our position, we noted Ian Davis’s (the creator of Planet Web 2.0) comments on Richard’s post: “I think you’re uncovering some essential quality of content remixing that perhaps hasn’t been appreciated before. Aggregating and remixing content needs to be done with respect. We should respect the original author’s intent and also the time and effort they put into creating the content. Repurposing, passing off, non-attribution – these are all disrespectful ways to treat content and people. Hopefully I’m treating the writers with respect on Planet Web 2.0 (and other similar sites I host). Perhaps a little bit more traffic will flow to them or perhaps it’ll help people discover related writers to those they already know. Either way I appreciate the work that goes into the writing and only wish I could write half as well as those I read.” Link As long as this his position, and his actions reflect his position, we’re behind him all the way. On a related note, Nivi (another must read blog) created two aggregate feeds recently – the Venture Capital Channel and the Entrepreneur Channel . He does less attribution than Planet Web 2.0, but it’s clear that his motives are pure. We recommend both. Planet Web 2.0 Creator: Ian Davis Update: I spoke with Ian Davis by email and he provided the following insights on his site: “My motivation for setting up PW was to collect together the writings of people I respect in this space. I wanted to understand the Web 2.0 landscape and keep abreast of new developments and applications. I already had a small private subscription list but rather than keep keep it to myself I decided to publish and aggregate from it. I reasoned that if I was interested in this then there were bound to be others equally interested. Hopefully people will come across it via people they already read and discover other great writers. The site has only been active for a couple of weeks – I think I registered it on the 1st July. I’ve had a long-standing interest in open access to data, collaboration and the semantic web. I was involved in authoring the RSS 1.0 specification back in 2000 and at the time I saw this as the first step to an open network of data with RSS giving implied permission for reuse. Now, with Web 2.0, I think I have an exciting opportunity to apply the same principles to a much wider range of content and services. In fact, I’ve just started a new role at a British company called Talis leading development of the Silkworm project, a platform for enabling Web 2.0 applications. I’m having a lot of fun. It feels like I’ve just discovered Mosaic for the first time :)” Update: There have been a couple of posts that are related to the subject of content stealing/aggregation. This first is by Fred Wilson and he calls it the “internet Access of Evil” and he quotes a Jason Calcanis email. The second is by Michael Parekh , who noticed the same site stole his content. There is a line here, and some people choose to cross it. Really bad form. Tags: rss , copyright , planetweb2.0 , techcrunch , web2.0 , content",Web_2.0,2005-07-11 00:00:00
,Profile – Del.Icio.Us (New Feature),https://techcrunch.com/2005/07/10/profile-delicious-new-feature/,"Company:  Deli.cio.us (new feature) Previous Profile:  June 16, 2005 What’s new? Josh Schachter (the creator of del.icio.us) announced new “tags for two” functionality yesterday. It allows direct bookmarket notification to a person, to suggest they see specific content. We first noticed a trend towards people using del.icio.us as a recommendation engine about a month ago. Fred Wilson, in addition to being THE web2.0 venture capitalist, loves music and posts regularly on music he is listening to. On June 4, 2005 he posted a request to his readers to recommend new music to him via del.icio.us: “If you find an mp3 file with its own URL, like my MP3 of the Week, simply tag it in delicious with a tag that is clearly your own.  For example, I use “fred’spodcast” as my tag.  Feel free to tag mp3s with that tag if you want me to listen to them. Then you take the RSS feed for that delicious tag, in my case http://del.icio.us/rss/tag/fred’spodcast , and burn that as a Feedburner feed.” We noticed it, and sort of put it in the back of our mind filed under “another cool del.icio.us tool”. Fred also set up a del.icio.us tag for his wife, Joanne. Whenever he wants her to see something on the web, he tags it “for:gothamgal”. Brad Feld noticed this, and liked it, and posted here that he set up something similar for himself – “If you run across something on the web you want me to see, just tag it.” All of this got Josh Schachter’s attention and so he created a more structured, and private, way of doing this: “ tags for two We’ve just begun rolling out support for tagging items for others. To do so, use “for:username” where username is the name of the user you want to send the item to. You can see items tagged for you at http://del.icio.us/for/ (it’ll redirect to your own page, which other users will not be able to see.)” Link Brad Feld then posted an update to his original request here . So, bottom line, any delicious user can now have a private recommendation tag. To recommend stuff to me, tag it “for:marrington” and I will be able to view it at ” http://del.icio.us/for/marrington” (although this will not be public). It’s a nice feature, although I would like an option to make it public. I think it would be interesting to share these recommendations with everyone. There are also concerns being expressed about spamming incentives. Over time, I can see “blacklists” being created for “bad users”, although it would be easy for people to simply create new delicious accounts. Relevant Links: delicious blog post on this Brad Feld ( #1 ) ( #2 ) fred wilson on music recommendations Jay Knight Sinceretheory Tags: Delicious , tagsfortwo , del.icio.us , web2.0 , RSS , tags , tagging , web2.0 , techcrunch",Web_2.0; del.icio.us,2005-07-10 00:00:00
,Profile: Rocketboom,https://techcrunch.com/2005/07/09/profile-rocketboom/,"Company: RocketBoom Launched: Located: New York, NY What is it? RocketBoom is a very popular Monday through Friday videoblog, or vblog. The segments are short – around 3 -5 minutes (or less) and released weekdays at 9 am EST.  RocketBoom is extremely low-budget – “Instead of costing millions of dollars to produce, Rocketboom is created with a consumer-level video camera, a laptop, two lights and a map with no additional overhead or costs” ( Link ). In their own words, “Rocketboom is a three minute daily videoblog based in New York City. We cover and create a wide range of information and commentary from top news stories to quirky internet culture. Agenda includes releasing each new clip at 9am EST, Monday through Friday.  With a heavy emphasis on international arts, technology and weblog drama, Rocketboom is presented via online video and widely distributed through RSS.” Link RocketBoom anchorwoman Amanda Congdon is the star of the show. She’s an aspiring actress who the Associated Press says first appeared on NBC’s The Restaurant as a disgruntled coat-check girl. For an example of one of the “posts”, see here (Topics: nasa tempe1 smashes into comet, rocketboom fireworks, itunes rss video tutorial, akimbo, akimbo review, karl rove leaks c.i.a. names, google video hacked on first day, google distributes pirated videos, skater trainer, music: [1, 2], apple itunes). Another one , on Tom Cruise ( “I’m not gay/scientology tour” ) The site has multiple RSS feeds and currently has approximately 25,000 daily downloads. Check it out. It’s one of our regular RSS feeds now. Additional Screen Shots: Link Team: Andrew Baron , creator Amanda Congdon , anchorwoman Joshua Kinberg , regular advisor Frank Lesser , Video editor Field Correspondents Link Links: RocketBoom About Archives Stats Bloggers Blog AP Tags: rocketboom , vblogs , videoblogs , podcasting , review , profile , techcrunch , web2.0 , amandacongdon , RSS",RocketBoom,2005-07-09 00:00:00
,Profile – Gigablast (Blog Search),https://techcrunch.com/2005/07/09/profile-gigablast-blog-search/,"Service:  Gigablast Blog Search Launched: Recently What is it? Gigablast just launched a beta blog search engine at blogs.gigablast.com. Results can be viewed by “revelvance” or date. There are other advance search options as well. However, there is no “tag” search. Screen Shots: Creator: Matt Wells, CEO ( bio ) Links: Blog Search Site Press About About.com Tags: gigablast , search , blogsearch , blogs , blogging , mattwells , techcrunch , web2.0 , profiles , reviews",,2005-07-09 00:00:00
,Profile – Newsgator Online V. Bloglines,https://techcrunch.com/2005/07/08/profile-newsgator-online-v-bloglines/,"Editor’s Note: This is a profile of NewsGator’s online product only, not its outlook, feeddemon and other products. There is a natural tendency to view NewsGator Online in comparison to Bloglines, as the products are both very popular and similar in many ways. Company:  NewsGator Founded: 2003. Acquired Feeddemon in May 2005. What is it? This profile reviews only NewsGator’s online product . NewsGator has a number of other popular products, including an Outlook product and the products offered by Feeddemon (recently acquired by NewsGator). We will probably profile NewsGator’s other products soon. They’ve recently changed their pricing structure , and based on its complexity (and user feedback), we suspect things may be further simplified over time. Today, Nick Bradbury (Feeddemon founder) further changed pricing for his product. The reason we like the Online edition is that it is not tied to a single computer. You can log in from anywhere. Also, Bloglines is the gold standard of web-based RSS readers , and it is natural to compare and contrast the two services (see our Blogines profile here ) Key Features of NewsGator Online: – easy import of feeds opml file – two pane interface – clippings, folders and feeds on the left, content on the right (similar to bloglines) – alphabetizes feeds – can view all feeds, or just feeds with new content – fast updating – great “clipping” tool to save content with one click – sorting options includ by date, view older/newer first – nascent search abilities NewsGator v. Bloglines: Bloglines has recently had significant delays in updating feeds – often updating only once a week. That means content comes infrequently and is stale – just the opposite of the core reason for using an RSS reader.  Their site is also down quite often (who’s seen the infamous Bloglines Plumber recently?) They are the largest RSS reader (other than Yahoo) (Bloglines accounts for about 30% of Techcrunch subscriptions, NewsGator is a close second), but these problems are leading many users to try out other services. However, even with its shortcoming, we find that NewsGator Online is not as good as Bloglines (but it’s close). To test NewsGator, we imported our Bloglines feeds and used it exclusively for a few days. Importing was easy, thanks to the Bloglines export feature and the NewsGator import feature. Snafus are noted below. Things NewsGator does better than Bloglines: 1. Feeds are updated much more frequently on NewsGator (a very, very important feature). 2. While both services have a “clippings” feature, we found NewsGator’s to be much easier to use – one click. Also, the clippings folder is added to the main directory on the left pane, whereas bloglines has an additional tab to click to view clipped items. 3. If you want a PC or Mac based desktop client, you have the ability to sync feeds with that client so you don’t read the same content twice (Bloglines doesn’t offer a desktop service). 4. NewsGator was never down during our testing period. Bloglines is down frequently. Things Bloglines does better than NewsGator: 1. Both have two pane interfaces, but Bloglines allows scrolling of the left pane whereas NewsGator doesn’t. This means that you can peruse feeds without losing the content in the right pane. This seems like a small issue, but we found it really annoying when using NewsGator. 2. Bloglines has a “mark all read” feature that clears out all unread content. NewsGator doesn’t have this feature, meaning we had to click on each and every one of our 250+ feeds after importing the opml file to clear out old content. This was a one-time issue, but it certainly got us off on the wrong foot with regard to our NewsGator experience. 3. Both services alphabetize feeds. However, Bloglines disregards “the” before the feedname, and we found it difficult to find the feeds we were used to reading by the name we remembered them by. 4.  Bloglines shows the number of subscribers for each feed, and you can view public subscribers. NewsGator doesn’t do this. 5. Bloglines allows you to view public subscriptions of other users (and add them to your own). NewsGator doesn’t have this feature. Bloglines also has a permanent URI for each subscriber’s public feeds. As an example, here are all of my personal feeds on Bloglines. 6.  Bloglines has a “keep new” feature for each post that is useful. NewsGator has no equivalent feature. 7. Bloglines has a useful but little known about email feature – you can create an email address and all emails to that address show up as a feed in bloglines. It’s very useful for subscribing to newsletter type emails that you’d rather have in your RSS reader than your email inbox. Things Both do well: Both have great user interfaces, options to open content in a new window or the existing window, options for folders to group feeds and good customer service (inquiries about both were answered promptly, within 24 hours even over a weekend). Neither service has tagging of content, something Rojo ( Rojo profile ) has, and we’d like to see further experiments in this area. Summary: To be honest, we could be happy with either one. But if forced to choose, we choose Bloglines based on features available today. If the feed updating issue isn’t worked out, however, or if we see that damn bloglines plumber more than once a month, things may change quickly. NewsGator has a good track record of responding quickly to user feedback, and most of the blogines features mentioned here could easily be added to NewsGator. Finally, we note that with the ease of opml exports of feeds, there is no real lock-in of users, and a newcomer with fresh ideas could easily and quickly gain real market share. NewsGator Management: J.B. Holston â€“ CEO and President Greg Reinacker â€“ CTO and Founder A.V. â€œSandyï¿½? Hamilton â€“ EVP Sales, Marketing and Business Development Mark Nass â€“ VP of Finance and Administration Link Links: About Press Support NewsGator Blog Greg Reinacker Brad Feld on NewsGator Pricing Nick Bradbury (Feeddemon Founder) RSS Compendium Blog Don’t Back Down ( â€œNewsgator is again going on the back burner. Just too many things that don’t work right.” ) Momathome knowledge jolt with jack home office voice Azizi Jennis Useful Sounds (slow bloglines updates) Leonid Mamchenkov Otherwise engaged (bloglines origins) Fanteja feednation (a newcomer to think about as an option, with incredible tagging and search options) Tags: newsgator , bloglines , feeddemon , rss , rssreaders , techcrunch , web2.0 , feednation , rojo",Bloglines,2005-07-08 00:00:00
